Code_base;Base;Ref publi;Code_publi;Exp;Trait;N°Refexp;N°trait_publi;Exp_fact;Description_trait;Nom_trait;Espece;Code_espece;MSI;pH;C2/C3;C2;C3;R_NDF;C_MOdeg;NDFF;%conc
2;Proportion;Elizalde1999;387;1;4;3871;38714;38712;ad libitum alfalfa + cracked corn supplementation at 0,8 % BW;0,8%BW corn grain;Steer;2;10,1;6,22;3,5;65,7;18,7;339;143;308;26
2;Proportion;Elizalde1999;387;1;5;3871;38715;38712;ad libitum alfalfa + cracked corn supplementation at 1,2 % BW;1,2%BW - corn grain;Steer;2;10,1;6,09;3;63;21,3;305;207;260;38
2;Proportion;Piperova2002;395;1;1;3951;39511;39511;60 % forage - 40 % concentrate - no buffer;HF_NB;Dairy_cow;1;20,6;6,13;3,1;64,2;20,5;342;216;286;40
2;Proportion;Piperova2002;395;1;2;3951;39512;39512;60 % forage - 40 % concentrate - buffer;HF_B;Dairy_cow;1;21,9;6,15;2,7;62,2;22,7;339;205;286;40
2;Proportion;Piperova2002;395;1;3;3951;39513;39511;25 % forage - 75 % concentrate - no buffer;LF_NB;Dairy_cow;1;23,7;5,83;2,2;58;26,5;209;408;119;75
2;Proportion;Piperova2002;395;1;4;3951;39514;39512;25 % forage - 75 % concentrate - buffer;LF_B;Dairy_cow;1;24,1;6,02;2,4;58,5;24,4;206;397;119;75
2;Proportion;VAGNONI1997;407;1;1;4071;40711;40711;alfalfa hay plus 24% of high moisture corn;AH plus 24% HMC;Dairy_cow;1;22,8;6,12;3,8;70,8;18,7;344;175;315;25
2;Proportion;VAGNONI1997;407;1;2;4071;40712;40712;alfalfa silage plus 24% high moisture corn;AS plus 24% HMC;Dairy_cow;1;21,9;6,14;3,1;67;21,9;318;175;290;25
2;Proportion;VAGNONI1997;407;1;3;4071;40713;40711;alfalfa hay plus 40% high moisture corn;AH plus 40% HMC;Dairy_cow;1;24,2;5,98;3;67,1;22,1;283;314;231;45
2;Proportion;VAGNONI1997;407;1;4;4071;40714;40712;alfalfa silage plus 40% high moisture corn;AS plus 40% HMC;Dairy_cow;1;23,5;6,04;2,9;65,7;22,3;264;314;212;45
2;Proportion;Widyobroto1992;411;1;1;4111;41111;41111;20 % concentrate - 80 % corn silage;B;Dairy_cow;1;20,9;6,48;3,7;66,1;17,8;391;95;343;21
2;Proportion;Widyobroto1992;411;1;2;4111;41112;41111;35 % concentrate - 65 % corn silage;M;Dairy_cow;1;21,9;6,43;3,1;64,3;20,8;381;177;285;34
2;Proportion;Widyobroto1992;411;1;3;4111;41113;41111;50% concentrate - 50 % corn silage;H;Dairy_cow;1;23,2;6,45;3;63,8;21,3;369;258;226;48
2;Proportion;VoelkerLinton2007;447;1;1;4471;44711;44711;45 % forage - 55 % concentrate;LF;Dairy_cow;1;27,8;5,86;;;;268;297;200;55
2;Proportion;VoelkerLinton2007;447;1;2;4471;44712;44711;62 % forage - 38 % concentrate;HF;Dairy_cow;1;24,7;6;;;;322;200;274;39
2;Proportion;Monteil1999;458;1;1;4581;45811;45811;10 % of wheat;B;Dairy_cow;1;21,6;6,26;2,6;57,1;21,8;364;152;330;25
2;Proportion;Monteil1999;458;1;2;4581;45812;45811;23 % of wheat;M;Dairy_cow;1;21,6;6,25;2,1;52,2;24,7;328;249;277;37
2;Proportion;Monteil1999;458;1;3;4581;45813;45811;36 % of wheat;H;Dairy_cow;1;20,8;6,17;1,8;51,7;28,4;292;346;224;49
2;Proportion;Apper-Bossard2003;460;4;1;4604;46041;46041;Bas concentré - bas BACA;BCO;Dairy_cow;1;19,4;6,2;2,7;57,8;21,8;357;91;325;21
2;Proportion;Apper-Bossard2003;460;4;2;4604;46042;46042;Bas concentré -  moyen BACA;BC150;Dairy_cow;1;20,4;6,46;2,8;59;21,4;359;91;327;21
2;Proportion;Apper-Bossard2003;460;4;3;4604;46043;46043;bas concentré - haut BACA;BC300;Dairy_cow;1;21,3;6,34;2,9;59,5;20,3;359;91;327;21
2;Proportion;Apper-Bossard2003;460;4;4;4604;46044;46041;haut concentré - bas BACA;HC0;Dairy_cow;1;20,6;6,02;2;55,6;27,8;320;229;258;38
2;Proportion;Apper-Bossard2003;460;4;5;4604;46045;46042;haut concentré - moyen BACA;HC150;Dairy_cow;1;21,5;6,07;2;54,6;27,8;322;229;259;38
2;Proportion;Apper-Bossard2003;460;4;6;4604;46046;46043;haut concentré - haut BACA;HC300;Dairy_cow;1;24,6;6,03;2,2;56,1;25,1;322;229;259;38
2;Proportion;HUBBELL1992;480;1;1;4801;48011;48011;bermudagrass without supplementation;B;Steer;2;5,8;6,56;;;;728;0;728;0
2;Proportion;HUBBELL1992;480;1;2;4801;48012;48011;bermudagrass + corn;C;Steer;2;5,8;6,5;;;;600;116;575;21
2;Proportion;Zebeli2008;491;1;1;4911;49111;49111;low concentrate - fine chopped hay;low-fine;Dairy_cow;1;16,6;6,57;3,9;68,8;17,6;514;145;477;21
2;Proportion;Zebeli2008;491;1;2;4911;49112;49112;low concentrate - long chopped hay;low-long;Dairy_cow;1;15,5;6,53;4;68,9;17,4;507;156;468;22
2;Proportion;Zebeli2008;491;1;3;4911;49113;49111;high concentrate-fine chopped hay;high-fine;Dairy_cow;1;15,6;6,49;3,4;64,1;18,9;375;395;269;55
2;Proportion;Zebeli2008;491;1;4;4911;49114;49112;high concentrate - long chopped hay;high-long;Dairy_cow;1;15,8;6,52;3,1;63,7;20,5;372;401;264;56
2;Proportion;Bal2000b;492;3;1;4923;49231;49231;61-67% forage diet + normal NDF corn silage;HF_39NDF;Dairy_cow;1;26,6;6,29;2,4;55,8;23,2;291;206;239;40
2;Proportion;Bal2000b;492;3;2;4923;49232;49232;61-67% forage diet + low NDF corn silage;HF_33NDF;Dairy_cow;1;25,7;6,33;2,7;57,4;21,6;279;172;234;34
2;Proportion;Bal2000b;492;3;3;4923;49233;49231;53% forage diet + normal NDF corn silage;NF_39NDF;Dairy_cow;1;27,7;6,23;2,4;55,4;23,4;272;247;211;47
2;Proportion;Bal2000b;492;3;4;4923;49234;49232;53% forage diet + low NDF corn silage;NF_33NDF;Dairy_cow;1;27,6;6,18;2;53;26;247;247;186;47
2;Proportion;ValadaresFilho2000;495;1;1;4951;49511;49511;20% concentrés;C20;Dairy_cow;1;22,1;6,51;3,5;64,4;18,2;403;126;363;20
2;Proportion;ValadaresFilho2000;495;1;2;4951;49512;49511;35% concentré;C35;Dairy_cow;1;25,2;6,29;3,3;62,7;19,1;364;218;298;35
2;Proportion;ValadaresFilho2000;495;1;3;4951;49513;49511;50% concentré;C50;Dairy_cow;1;26,4;6,08;2,6;58,5;22,5;325;314;229;50
2;Proportion;ValadaresFilho2000;495;1;4;4951;49514;49511;65% concentré;C65;Dairy_cow;1;25,6;6,08;1,8;52,7;28,6;285;410;161;65
2;Proportion;Yang2009;664;1;1;6641;66411;66411;35 % forage - 65 % concentrate - short silage;35:65 Short;Dairy_cow;1;25,4;5,99;2,5;59,2;23,6;274;334;157;65
2;Proportion;Yang2009;664;1;2;6641;66412;66412;35 % forage - 65 % concentrate - long silage;35:65 Long;Dairy_cow;1;24,7;6,26;2,4;58,7;24,9;278;334;162;65
2;Proportion;Yang2009;664;1;3;6641;66413;66411;60 % forage - 40 % short silage;60:40 Short;Dairy_cow;1;23,4;6,46;3,4;64;19;324;193;264;40
2;Proportion;Yang2009;664;1;4;6641;66414;66412;60 % forage - 40 % long silage;60:40 Long;Dairy_cow;1;22,4;6,56;3,5;65,1;18,6;332;193;272;40
2;Proportion;Kononoff2003;162;1;1;1621;16211;16211;57,4 % EM long;LGNH;Dairy_cow;1;25,7;6,24;2,8;60,1;21,7;304;247;227;43
2;Proportion;Kononoff2003;162;1;2;1621;16212;16211;45,8 % EM long + cottonseed hulls;LGH;Dairy_cow;1;27,6;6,17;2,8;64,8;22,9;316;314;181;54
2;Proportion;Kononoff2003;162;1;3;1621;16213;16212;57,4 % EM court;SHNH;Dairy_cow;1;26,1;6,24;3;60,8;20,2;304;247;227;43
2;Proportion;Kononoff2003;162;1;4;1621;16214;16212;45,8 % EM court + cottonseed hulls;SHH;Dairy_cow;1;28,3;6,16;2,8;63;22,6;316;314;181;54
2;Proportion;Pina2009;660;1;1;6601;66011;66011;31% maïs- 8,33% corn gluten meal;40%concentrate-highRUP;Dairy_heifer;2;4,2;6,4;;;;346;201;307;40
2;Proportion;Pina2009;660;1;2;6601;66012;66012;35% maïs-3% soybean meal;40%concentrate-lowRUP;Dairy_heifer;2;4,6;6,39;;;;353;212;307;40
2;Proportion;Pina2009;660;1;3;6601;66013;66011;10%maïs-9%corn gluten meal;20%concentrate-highRUP;Dairy_heifer;2;3,9;6,47;;;;423;86;409;20
2;Proportion;Pina2009;660;1;4;6601;66014;66012;11%maïs-6% soybean meal;20%concentrate-lowRUP;Dairy_heifer;2;4,3;6,55;;;;431;102;409;20
2;Proportion;Lechartier2007;999;1;1;9991;99911;99911;10%blé  _ moyenne 14 et 5,5 mm;10;Dairy_cow;1;21,7;6,46;3;60,8;20;338;127;310;23
2;Proportion;Lechartier2007;999;1;2;9991;99912;99911;23%blé - moyenne 14 et 5,5 mm;23;Dairy_cow;1;18,2;6,39;2,9;59;20,1;305;229;258;35
2;Proportion;Lechartier2007;999;1;3;9991;99913;99911;36%blé - moyenne 14 et 5,5 mm;36;Dairy_cow;1;18,6;6,08;2,2;55,2;25,3;272;333;207;48
3;Nature/proportion;Aldrich1993A;43;1;1;431;4311;4311;high rumen available NSC - high rumen available protein;High RANSC - high RAP;Dairy_cow;1;25,1;6,29;2,7;61,3;22,9;325;341;255;51
3;Nature/proportion;Aldrich1993A;43;1;2;431;4312;4312;high rumen available NSC - low rumen available protein;high RANSC - low RAP;Dairy_cow;1;24,9;6,4;3,2;63,8;20,2;325;305;280;47
3;Nature/proportion;Aldrich1993A;43;1;3;431;4313;4311;low rumen available NSC - high rumen available protein;low RANSC - high RAP;Dairy_cow;1;26,9;6,26;3,2;63,1;20;329;328;209;60
3;Nature/proportion;Aldrich1993A;43;1;4;431;4314;4312;low rumen available NSC - low rumen available protein;low RANSC - low RAP;Dairy_cow;1;25,1;6,37;3,6;65,4;18,2;328;291;236;55
3;Nature/proportion;Brake1989;47;1;1;471;4711;4711;bermudagrass;BG;Beef_cow;2;4,9;6,77;;;;786;0;786;0
3;Nature/proportion;Brake1989;47;1;2;471;4712;4711;bermudagarass-barley;BG:B;Beef_cow;2;10,3;6,62;;;;484;387;369;53
3;Nature/proportion;Brake1989;47;1;3;471;4713;4711;bermudagrass-corn;BG:C;Beef_cow;2;11,9;6,67;;;;453;276;393;50
3;Nature/proportion;Brake1989;47;1;4;471;4714;4712;orchardgrass;OG;Beef_cow;2;4,9;6,75;;;;791;0;791;0
3;Nature/proportion;Brake1989;47;1;5;471;4715;4712;orchadgrass-barley;OG:B;Beef_cow;2;10,3;6,57;;;;486;387;372;53
3;Nature/proportion;Brake1989;47;1;6;471;4716;4712;orchardgrass-corn;OG:C;Beef_cow;2;11,9;6,59;;;;456;276;396;50
3;Nature/proportion;CAMERON1991A;48;1;1;481;4811;4811;control;contrôle;Dairy_cow;1;23,1;5,94;3,2;65,2;20,6;298;226;251;45
3;Nature/proportion;CAMERON1991A;48;1;2;481;4812;4812;control + urea;urea;Dairy_cow;1;23;5,96;3;64;21,2;297;222;251;45
3;Nature/proportion;CAMERON1991A;48;1;3;481;4813;4811;control + starch;starch;Dairy_cow;1;21,6;5,9;3;63,1;20,9;239;327;195;58
3;Nature/proportion;CAMERON1991A;48;1;4;481;4814;4812;control + urea + starch;starch_urea;Dairy_cow;1;21;5,74;2,2;59,8;27;238;323;195;58
3;Nature/proportion;FENG1993;49;1;1;491;4911;4911;39% nonstructural carbohydrate - rapidly degraded fiber;39% NSC  LF;Dairy_cow;1;15,6;5,75;2;52,1;26,4;328;605;0;100
3;Nature/proportion;FENG1993;49;1;2;491;4912;4911;39% nonstructural carbohydrates - slowly degraded fiber;39% NSC  HF;Dairy_cow;1;16,5;5,88;3,1;65,8;21,3;336;544;60;84
3;Nature/proportion;FENG1993;49;1;3;491;4913;4911;29% nonstructural carbohydrates - rapidly degraded fiber;29% NSC  LF;Dairy_cow;1;16,4;5,73;2,4;59,4;25;345;412;109;72
3;Nature/proportion;FENG1993;49;1;4;491;4914;4911;29% nonstructural carbohydrates - slowly degraded fiber;29% NSC  HF;Dairy_cow;1;17,4;6,07;2,9;62,5;21,9;315;289;239;45
3;Nature/proportion;Galloway1993;52;1;1;521;5211;5211;bermudagrass sans supplément;control;Steer ;2;6;6,34;4,1;71,4;17,4;749;0;749;0
3;Nature/proportion;Galloway1993;52;1;2;521;5212;5211;bermudagrass + ground corn;ground corn;Steer;2;8,8;6,02;3,9;68,8;17,6;555;171;518;31
3;Nature/proportion;Galloway1993;52;1;3;521;5213;5211;whole corn + bermudagrass;whole corn;Steer;2;8,8;6,07;3,7;67,4;18,4;555;149;518;31
